repo,verdict,match_ratio,type_ratio,n_gt,phantoms,missed,type_errors,path_ambiguities,has_compose,has_compose_build,selected_compose,port_verifiable,port_ok,entry_verifiable,entry_ok
faizanabuzar_mern-web-app-containerization,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,1,0,0
fibonaccy,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,1,1
filament-tracker,correct,1.0000,1.0000,1,0,0,0,0,0,0,,0,0,0,0
financial_tracker,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,0,0,1,0
fullstack-mern-ts,mostly_correct,1.0000,1.0000,2,1,0,0,0,1,1,docker-compose.yml,0,0,1,0
fullstack-react-node-docker-example,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
fullstackreacttemplate,correct,1.0000,1.0000,3,0,0,0,0,1,1,docker-compose.yml,2,1,2,1
gaabgonca_mern-docker,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
generator-create-express-react-app,wrong,0.0000,1.0000,1,1,1,0,0,0,0,,0,0,0,0
german,mostly_correct,0.5000,1.0000,2,1,1,0,0,1,1,docker-compose.yml,0,0,0,0
